/* DATA DESCRIPTION:
Citation:	Depoorter, Mathieu A; Bamber, Jonathan L; Griggs, Jennifer; Lenaerts, Jan T M; Ligtenberg, Stefan R M; van den Broeke, Michiel R; Moholdt, Geir (2013): Antarctic grounding line. PANGAEA, https://doi.org/10.1594/PANGAEA.819150, 
	In supplement to: Depoorter, MA et al. (2013): Calving fluxes and basal melt rates of Antarctic ice shelves. Nature, 502, 89-92, https://doi.org/10.1038/nature12567
Further details:	Moholdt, Geir; Fricker, Helen; Padman, Laurie; Paolo, Fernando S (2013): Synthesized grounding line and ice shelf mask for Antarctica. Scripps Institution of Oceanography, UCSD, 25 pp, hdl:10013/epic.42133.d004
Coverage:	MEDIAN LATITUDE: -71.799236 * MEDIAN LONGITUDE: -163.368176 * SOUTH-BOUND LATITUDE: -85.405900 * WEST-BOUND LONGITUDE: 0.013300 * NORTH-BOUND LATITUDE: -63.214500 * EAST-BOUND LONGITUDE: -0.011500
Event(s):	pan-Antarctica * LATITUDE: -90.000000 * LONGITUDE: 0.000000
Parameter(s):	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Line (Line) * PI: Depoorter, Mathieu A (mathieu.depoorter@bristol.ac.uk, http://www.bristol.ac.uk/geography/people/mathieu-a-depoorter/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	103038 data points
*/
Latitude	Longitude	Line
-70.3381	9.6477	58
-70.3412	9.6523	59
-70.3438	9.6576	60
-70.3460	9.6636	61
-70.3469	9.6682	62
-70.3470	9.6706	63
-70.3468	9.6717	64
-70.3464	9.6729	65
-70.3455	9.6738	66
-70.3410	9.6741	67
-70.3387	9.6750	68
-70.3374	9.6764	69
-70.3362	9.6785	70
-70.3349	9.6824	71
-70.3341	9.6872	72
-70.3335	9.6930	73
-70.3334	9.7005	74
-70.3337	9.7072	75
-70.3341	9.7117	76
-70.3354	9.7206	77
-70.3407	9.7483	78
-70.3422	9.7546	79
-70.3435	9.7595	80
-70.3461	9.7662	81
-70.3506	9.7749	82
-70.3536	9.7797	83
-70.3592	9.7863	84
-70.3604	9.7883	85
-70.3615	9.7906	86
-70.3624	9.7933	87
-70.3633	9.7965	88
-70.3656	9.8081	89
-70.3668	9.8135	90
-70.3685	9.8189	91
-70.3697	9.8217	92
-70.3716	9.8244	93
-70.3737	9.8259	94
-70.3759	9.8264	95
-70.3807	9.8263	96
-70.3822	9.8269	97
-70.3839	9.8286	98
-70.3850	9.8308	99
-70.3866	9.8355	100
-70.3880	9.8419	101
-70.3934	9.8721	102
-70.3967	9.8940	103
-70.3979	9.8997	104
-70.3988	9.9028	105
-70.3994	9.9041	106
-70.4004	9.9054	107
-70.4020	9.9057	108
-70.4037	9.9042	109
-70.4075	9.8994	110
-70.4087	9.8987	111
-70.4103	9.8984	112
-70.4127	9.8999	113
-70.4149	9.9034	114
-70.4158	9.9058	115
-70.4170	9.9099	116
-70.4209	9.9302	117
-70.4254	9.9490	118
-70.4274	9.9567	119
-70.4303	9.9646	120
-70.4367	9.9787	121
-70.4387	9.9837	122
-70.4408	9.9903	123
-70.4449	10.0053	124
-70.4496	10.0197	125
-70.4569	10.0378	126
-70.4623	10.0502	127
-70.4661	10.0572	128
-70.4762	10.0743	129
-70.4799	10.0814	130
-70.4845	10.0926	131
-70.4879	10.1027	132
-70.4891	10.1076	133
-70.4904	10.1143	134
-70.4922	10.1259	135
-70.4939	10.1377	136
-70.4949	10.1472	137
-70.4960	10.1592	138
-70.4972	10.1754	139
-70.4978	10.1962	140
-70.4978	10.2130	141
-70.4971	10.2353	142
-70.4956	10.2654	143
-70.4955	10.2773	144
-70.4960	10.2959	145
-70.4966	10.3090	146
-70.4973	10.3162	147
-70.4987	10.3234	148
-70.5003	10.3286	149
-70.5022	10.3338	150
-70.5047	10.3386	151
-70.5113	10.3490	152
-70.5135	10.3530	153
-70.5173	10.3617	154
-70.5199	10.3697	155
-70.5221	10.3791	156
-70.5233	10.3871	157
-70.5240	10.3933	158
-70.5255	10.4128	159
-70.5262	10.4191	160
-70.5269	10.4234	161
-70.5282	10.4300	162
-70.5302	10.4383	163
-70.5320	10.4441	164
-70.5341	10.4500	165
-70.5367	10.4556	166
-70.5402	10.4624	167
-70.5431	10.4672	168
-70.5452	10.4702	169
-70.5479	10.4725	170
-70.5537	10.4750	171
-70.5592	10.4790	172
-70.5626	10.4829	173
-70.5663	10.4892	174
-70.5716	10.5007	175
-70.5763	10.5135	176
-70.5805	10.5258	177
-70.5919	10.5626	178
-70.5958	10.5736	179
-70.5991	10.5813	180
-70.6026	10.5885	181
-70.6118	10.6043	182
-70.6133	10.6077	183
-70.6143	10.6108	184
-70.6164	10.6185	185
-70.6187	10.6287	186
-70.6247	10.6607	187
-70.6290	10.6800	188
-70.6314	10.6891	189
-70.6377	10.7080	190
-70.6399	10.7156	191
-70.6430	10.7276	192
-70.6452	10.7388	193
-70.6470	10.7508	194
-70.6476	10.7557	195
-70.6479	10.7606	196
-70.6480	10.7669	197
-70.6477	10.7891	198
-70.6479	10.7953	199
-70.6485	10.8027	200
-70.6500	10.8175	201
-70.6522	10.8345	202
-70.6536	10.8425	203
-70.6556	10.8512	204
-70.6578	10.8593	205
-70.6592	10.8639	206
-70.6644	10.8769	207
-70.6663	10.8821	208
-70.6724	10.9045	209
-70.6743	10.9100	210
-70.6767	10.9162	211
-70.6802	10.9233	212
-70.6841	10.9294	213
-70.6866	10.9321	214
-70.6915	10.9350	215
-70.6933	10.9368	216
-70.6948	10.9399	217
-70.6961	10.9448	218
-70.6968	10.9502	219
-70.6969	10.9541	220
-70.6969	10.9586	221
-70.6964	10.9658	222
-70.6943	10.9853	223
-70.6939	10.9920	224
-70.6939	10.9981	225
-70.6945	11.0052	226
-70.6962	11.0172	227
-70.6967	11.0220	228
-70.6984	11.0437	229
-70.7007	11.0660	230
-70.7011	11.0722	231
-70.7010	11.0767	232
-70.7005	11.0854	233
-70.6991	11.0964	234
-70.6967	11.1105	235
-70.6913	11.1395	236
-70.6898	11.1485	237
-70.6889	11.1558	238
-70.6882	11.1660	239
-70.6862	11.2076	240
-70.6841	11.2601	241
-70.6822	11.3020	242
-70.6822	11.3125	243
-70.6829	11.3339	244
-70.6831	11.3419	245
-70.6827	11.3762	246
-70.6828	11.3833	247
-70.6830	11.3875	248
-70.6835	11.3915	249
-70.6843	11.3943	250
-70.6853	11.3955	251
-70.6859	11.3957	252
-70.6868	11.3953	253
-70.6888	11.3922	254
-70.6941	11.3789	255
-70.6963	11.3751	256
-70.6985	11.3734	257
-70.7002	11.3732	258
-70.7020	11.3737	259
-70.7046	11.3750	260
-70.7068	11.3769	261
-70.7099	11.3802	262
-70.7146	11.3860	263
-70.7176	11.3903	264
-70.7198	11.3942	265
-70.7212	11.3971	266
-70.7227	11.4012	267
-70.7242	11.4072	268
-70.7257	11.4165	269
-70.7266	11.4265	270
-70.7271	11.4386	271
-70.7272	11.4503	272
-70.7269	11.4656	273
-70.7265	11.4759	274
-70.7252	11.4966	275
-70.7250	11.5045	276
-70.7252	11.5151	277
-70.7257	11.5227	278
-70.7263	11.5273	279
-70.7275	11.5338	280
-70.7284	11.5378	281
-70.7296	11.5419	282
-70.7307	11.5443	283
-70.7322	11.5465	284
-70.7375	11.5529	285
-70.7400	11.5575	286
-70.7411	11.5606	287
-70.7419	11.5638	288
-70.7425	11.5669	289
-70.7429	11.5710	290
-70.7431	11.5761	291
-70.7430	11.5813	292
-70.7428	11.5850	293
-70.7424	11.5899	294
-70.7409	11.5991	295
-70.7341	11.6384	296
-70.7329	11.6467	297
-70.7319	11.6555	298
-70.7310	11.6658	299
-70.7304	11.6750	300
-70.7300	11.6883	301
-70.7297	11.7043	302
-70.7296	11.7465	303
-70.7302	11.7780	304
-70.7308	11.7911	305
-70.7344	11.8594	306
-70.7381	11.9361	307
-70.7385	11.9509	308
-70.7382	11.9638	309
-70.7379	11.9690	310
-70.7372	11.9752	311
-70.7363	11.9807	312
-70.7349	11.9867	313
-70.7329	11.9943	314
-70.7301	12.0041	315
-70.7206	12.0336	316
-70.7173	12.0420	317
-70.7161	12.0442	318
-70.7142	12.0464	319
-70.7119	12.0481	320
-70.7051	12.0514	321
-70.7013	12.0541	322
-70.6974	12.0583	323
-70.6913	12.0666	324
-70.6872	12.0706	325
-70.6834	12.0727	326
-70.6792	12.0734	327
-70.6742	12.0729	328
-70.6698	12.0707	329
-70.6620	12.0649	330
-70.6520	12.0556	331
-70.6478	12.0522	332
-70.6380	12.0458	333
-70.6293	12.0409	334
-70.6245	12.0394	335
-70.6157	12.0389	336
-70.6114	12.0390	337
-70.6084	12.0403	338
-70.6070	12.0418	339
-70.6060	12.0435	340
-70.6046	12.0466	341
-70.6008	12.0569	342
-70.5991	12.0610	343
-70.5916	12.0756	344
-70.5897	12.0807	345
-70.5879	12.0864	346
-70.5852	12.0968	347
-70.5837	12.1046	348
-70.5828	12.1126	349
-70.5815	12.1307	350
-70.5806	12.1378	351
-70.5795	12.1449	352
-70.5786	12.1492	353
-70.5778	12.1518	354
-70.5766	12.1546	355
-70.5752	12.1567	356
-70.5723	12.1596	357
-70.5694	12.1609	358
-70.5594	12.1605	359
-70.5472	12.1621	360
-70.5437	12.1622	361
-70.5403	12.1614	362
-70.5352	12.1594	363
-70.5244	12.1526	364
-70.5228	12.1519	365
-70.5207	12.1517	366
-70.5178	12.1531	367
-70.5121	12.1582	368
-70.5091	12.1603	369
-70.5050	12.1621	370
-70.5017	12.1626	371
-70.4996	12.1620	372
-70.4967	12.1596	373
-70.4935	12.1556	374
-70.4900	12.1503	375
-70.4881	12.1483	376
-70.4866	12.1477	377
-70.4847	12.1482	378
-70.4825	12.1506	379
-70.4775	12.1585	380
-70.4749	12.1615	381
-70.4729	12.1625	382
-70.4674	12.1628	383
-70.4658	12.1641	384
-70.4646	12.1665	385
-70.4638	12.1689	386
-70.4631	12.1717	387
-70.4625	12.1761	388
-70.4621	12.1809	389
-70.4619	12.1859	390
-70.4619	12.1909	391
-70.4625	12.2108	392
-70.4625	12.2203	393
-70.4620	12.2290	394
-70.4610	12.2352	395
-70.4600	12.2388	396
-70.4590	12.2415	397
-70.4578	12.2437	398
-70.4563	12.2456	399
-70.4524	12.2487	400
-70.4467	12.2519	401
-70.4435	12.2532	402
-70.4403	12.2539	403
-70.4181	12.2562	404
-70.4147	12.2558	405
-70.4133	12.2550	406
-70.4119	12.2534	407
-70.4107	12.2514	408
-70.4096	12.2490	409
-70.4088	12.2460	410
-70.4078	12.2407	411
-70.4067	12.2321	412
-70.4043	12.2065	413
-70.4035	12.2001	414
-70.4023	12.1937	415
-70.4009	12.1887	416
-70.3998	12.1861	417
-70.3992	12.1852	418
-70.3976	12.1845	419
-70.3970	12.1848	420
-70.3959	12.1863	421
-70.3949	12.1886	422
-70.3937	12.1920	423
-70.3884	12.2118	424
-70.3860	12.2194	425
-70.3838	12.2249	426
-70.3777	12.2376	427
-70.3737	12.2478	428
-70.3686	12.2625	429
-70.3676	12.2665	430
-70.3666	12.2716	431
-70.3663	12.2763	432
-70.3663	12.2810	433
-70.3666	12.2850	434
-70.3671	12.2887	435
-70.3694	12.2984	436
-70.3744	12.3158	437
-70.3759	12.3217	438
-70.3775	12.3297	439
-70.3789	12.3385	440
-70.3794	12.3448	441
-70.3793	12.3510	442
-70.3790	12.3552	443
-70.3784	12.3593	444
-70.3770	12.3664	445
-70.3752	12.3715	446
-70.3733	12.3754	447
-70.3710	12.3786	448
-70.3690	12.3801	449
-70.3674	12.3803	450
-70.3657	12.3800	451
-70.3503	12.3733	452
-70.3480	12.3736	453
-70.3466	12.3751	454
-70.3454	12.3775	455
-70.3439	12.3822	456
-70.3400	12.3993	457
-70.3341	12.4183	458
-70.3331	12.4223	459
-70.3326	12.4257	460
-70.3325	12.4289	461
-70.3326	12.4315	462
-70.3328	12.4330	463
-70.3335	12.4355	464
-70.3348	12.4375	465
-70.3354	12.4378	466
-70.3366	12.4376	467
-70.3386	12.4358	468
-70.3407	12.4326	469
-70.3483	12.4173	470
-70.3516	12.4122	471
-70.3538	12.4099	472
-70.3563	12.4082	473
-70.3578	12.4079	474
-70.3595	12.4084	475
-70.3615	12.4109	476
-70.3631	12.4146	477
-70.3642	12.4190	478
-70.3651	12.4250	479
-70.3655	12.4323	480
-70.3655	12.4398	481
-70.3651	12.4456	482
-70.3640	12.4521	483
-70.3621	12.4602	484
-70.3601	12.4668	485
-70.3578	12.4725	486
-70.3523	12.4836	487
-70.3503	12.4882	488
-70.3480	12.4943	489
-70.3452	12.5040	490
-70.3430	12.5122	491
-70.3410	12.5207	492
-70.3366	12.5449	493
-70.3350	12.5524	494
-70.3331	12.5594	495
-70.3273	12.5778	496
-70.3250	12.5856	497
-70.3224	12.5959	498
-70.3136	12.6340	499
-70.3116	12.6413	500
-70.3100	12.6464	501
-70.3082	12.6513	502
-70.3062	12.6558	503
-70.3048	12.6585	504
-70.3028	12.6613	505
-70.3002	12.6631	506
-70.2955	12.6636	507
-70.2934	12.6646	508
-70.2915	12.6671	509
-70.2901	12.6706	510
-70.2894	12.6744	511
-70.2890	12.6787	512
-70.2889	12.6838	513
-70.2894	12.6905	514
-70.2909	12.7026	515
-70.2955	12.7297	516
-70.2970	12.7422	517
-70.2979	12.7524	518
-70.2982	12.7594	519
-70.2981	12.7650	520
-70.2977	12.7717	521
-70.2967	12.7799	522
-70.2953	12.7871	523
-70.2925	12.7960	524
-70.2899	12.8020	525
-70.2877	12.8051	526
-70.2838	12.8082	527
-70.2805	12.8093	528
-70.2780	12.8088	529
-70.2724	12.8062	530
-70.2703	12.8056	531
-70.2677	12.8057	532
-70.2645	12.8070	533
-70.2622	12.8090	534
-70.2600	12.8124	535
-70.2573	12.8187	536
-70.2551	12.8253	537
-70.2538	12.8313	538
-70.2526	12.8394	539
-70.2512	12.8563	540
-70.2507	12.8679	541
-70.2508	12.8752	542
-70.2511	12.8820	543
-70.2531	12.9001	544
-70.2537	12.9089	545
-70.2538	12.9166	546
-70.2537	12.9210	547
-70.2534	12.9246	548
-70.2524	12.9305	549
-70.2511	12.9354	550
-70.2492	12.9396	551
-70.2451	12.9469	552
-70.2440	12.9499	553
-70.2431	12.9546	554
-70.2427	12.9587	555
-70.2426	12.9652	556
-70.2434	12.9814	557
-70.2435	12.9879	558
-70.2432	12.9936	559
-70.2424	12.9986	560
-70.2408	13.0042	561
-70.2388	13.0091	562
-70.2365	13.0132	563
-70.2333	13.0178	564
-70.2292	13.0217	565
-70.2262	13.0230	566
-70.2248	13.0229	567
-70.2226	13.0221	568
-70.2187	13.0191	569
-70.2164	13.0169	570
-70.2135	13.0132	571
-70.2023	12.9965	572
-70.1937	12.9854	573
-70.1904	12.9803	574
-70.1878	12.9754	575
-70.1855	12.9699	576
-70.1831	12.9631	577
-70.1804	12.9540	578
-70.1789	12.9486	579
-70.1771	12.9407	580
-70.1711	12.9108	581
-70.1673	12.8887	582
-70.1649	12.8728	583
-70.1590	12.8293	584
-70.1572	12.8134	585
-70.1560	12.7985	586
-70.1551	12.7834	587
-70.1532	12.7394	588
-70.1497	12.6736	589
-70.1437	12.5834	590
-70.1397	12.5289	591
-70.1382	12.5128	592
-70.1359	12.4945	593
-70.1347	12.4877	594
-70.1334	12.4814	595
-70.1305	12.4696	596
-70.1291	12.4651	597
-70.1270	12.4606	598
-70.1232	12.4541	599
-70.1185	12.4471	600
-70.1153	12.4432	601
-70.1043	12.4313	602
-70.1009	12.4282	603
-70.0975	12.4255	604
-70.0940	12.4238	605
-70.0909	12.4230	606
-70.0873	12.4228	607
-70.0841	12.4234	608
-70.0826	12.4241	609
-70.0812	12.4249	610
-70.0789	12.4267	611
-70.0769	12.4292	612
-70.0743	12.4333	613
-70.0708	12.4412	614
-70.0688	12.4466	615
-70.0664	12.4544	616
-70.0629	12.4682	617
-70.0602	12.4814	618
-70.0586	12.4921	619
-70.0578	12.5021	620
-70.0569	12.5228	621
-70.0566	12.5374	622
-70.0567	12.5444	623
-70.0570	12.5513	624
-70.0584	12.5690	625
-70.0620	12.6029	626
-70.0671	12.6447	627
-70.0720	12.6949	628
-70.0733	12.7101	629
-70.0737	12.7178	630
-70.0740	12.7268	631
-70.0745	12.7609	632
-70.0745	12.7766	633
-70.0742	12.7855	634
-70.0734	12.7954	635
-70.0711	12.8124	636
-70.0666	12.8393	637
-70.0631	12.8643	638
-70.0600	12.8821	639
-70.0578	12.8918	640
-70.0544	12.9034	641
-70.0518	12.9105	642
-70.0460	12.9256	643
-70.0436	12.9328	644
-70.0427	12.9368	645
-70.0422	12.9401	646
-70.0418	12.9452	647
-70.0418	12.9495	648
-70.0422	12.9592	649
-70.0433	12.9712	650
-70.0444	12.9808	651
-70.0460	12.9915	652
-70.0504	13.0172	653
-70.0525	13.0277	654
-70.0549	13.0380	655
-70.0587	13.0514	656
-70.0610	13.0588	657
-70.0627	13.0632	658
-70.0653	13.0691	659
-70.0696	13.0778	660
-70.0756	13.0887	661
-70.0911	13.1148	662
-70.0941	13.1196	663
-70.0971	13.1237	664
-70.1010	13.1282	665
-70.1048	13.1320	666
-70.1089	13.1350	667
-70.1220	13.1433	668
-70.1255	13.1452	669
-70.1281	13.1462	670
-70.1314	13.1461	671
-70.1346	13.1442	672
-70.1379	13.1405	673
-70.1437	13.1303	674
-70.1452	13.1282	675
-70.1471	13.1271	676
-70.1489	13.1281	677
-70.1498	13.1296	678
-70.1509	13.1322	679
-70.1522	13.1371	680
-70.1535	13.1448	681
-70.1556	13.1610	682
-70.1568	13.1667	683
-70.1582	13.1715	684
-70.1627	13.1841	685
-70.1665	13.1987	686
-70.1680	13.2037	687
-70.1699	13.2084	688
-70.1716	13.2115	689
-70.1739	13.2141	690
-70.1789	13.2185	691
-70.1801	13.2200	692
-70.1815	13.2226	693
-70.1832	13.2273	694
-70.1863	13.2401	695
-70.1875	13.2433	696
-70.1885	13.2443	697
-70.1898	13.2442	698
-70.1908	13.2431	699
-70.1941	13.2382	700
-70.1953	13.2373	701
-70.1965	13.2371	702
-70.1985	13.2383	703
-70.2006	13.2412	704
-70.2068	13.2517	705
-70.2114	13.2575	706
-70.2148	13.2606	707
-70.2211	13.2651	708
-70.2266	13.2702	709
-70.2355	13.2774	710
-70.2457	13.2870	711
-70.2516	13.2933	712
-70.2553	13.2984	713
-70.2604	13.3081	714
-70.2659	13.3157	715
-70.2670	13.3182	716
-70.2686	13.3230	717
-70.2703	13.3304	718
-70.2715	13.3386	719
-70.2718	13.3444	720
-70.2716	13.3500	721
-70.2709	13.3548	722
-70.2696	13.3605	723
-70.2677	13.3663	724
-70.2642	13.3751	725
-70.2629	13.3793	726
-70.2625	13.3819	727
-70.2625	13.3843	728
-70.2628	13.3875	729
-70.2632	13.3892	730
-70.2641	13.3921	731
-70.2658	13.3960	732
-70.2678	13.3995	733
-70.2698	13.4020	734
-70.2712	13.4032	735
-70.2727	13.4038	736
-70.2782	13.4032	737
-70.2808	13.4040	738
-70.2833	13.4063	739
-70.2867	13.4118	740
-70.2884	13.4153	741
-70.2904	13.4203	742
-70.2939	13.4315	743
-70.2960	13.4410	744
-70.2971	13.4474	745
-70.2980	13.4539	746
-70.2985	13.4598	747
-70.2989	13.4673	748
-70.2989	13.4770	749
-70.2986	13.4860	750
-70.2978	13.4940	751
-70.2941	13.5170	752
-70.2921	13.5335	753
-70.2914	13.5409	754
-70.2912	13.5460	755
-70.2912	13.5505	756
-70.2915	13.5574	757
-70.2924	13.5657	758
-70.2932	13.5701	759
-70.2945	13.5754	760
-70.2966	13.5810	761
-70.3016	13.5910	762
-70.3040	13.5965	763
-70.3069	13.6060	764
-70.3077	13.6097	765
-70.3085	13.6146	766
-70.3094	13.6230	767
-70.3097	13.6317	768
-70.3094	13.6670	769
-70.3096	13.6809	770
-70.3102	13.6905	771
-70.3111	13.7000	772
-70.3125	13.7123	773
-70.3138	13.7220	774
-70.3148	13.7283	775
-70.3162	13.7339	776
-70.3180	13.7395	777
-70.3198	13.7441	778
-70.3210	13.7464	779
-70.3229	13.7493	780
-70.3283	13.7552	781
-70.3304	13.7578	782
-70.3330	13.7624	783
-70.3352	13.7671	784
-70.3371	13.7723	785
-70.3381	13.7757	786
-70.3391	13.7806	787
-70.3399	13.7862	788
-70.3405	13.7928	789
-70.3406	13.7992	790
-70.3402	13.8071	791
-70.3395	13.8125	792
-70.3383	13.8182	793
-70.3363	13.8254	794
-70.3300	13.8422	795
-70.3281	13.8489	796
-70.3273	13.8541	797
-70.3266	13.8602	798
-70.3264	13.8664	799
-70.3264	13.8707	800
-70.3267	13.8754	801
-70.3273	13.8820	802
-70.3278	13.8865	803
-70.3288	13.8919	804
-70.3303	13.8977	805
-70.3348	13.9110	806
-70.3369	13.9184	807
-70.3397	13.9306	808
-70.3412	13.9396	809
-70.3420	13.9489	810
-70.3431	13.9708	811
-70.3440	13.9862	812
-70.3457	14.0066	813
-70.3480	14.0317	814
-70.3487	14.0441	815
-70.3487	14.0580	816
-70.3484	14.0656	817
-70.3480	14.0705	818
-70.3475	14.0753	819
-70.3468	14.0797	820
-70.3450	14.0866	821
-70.3425	14.0935	822
-70.3396	14.0991	823
-70.3374	14.1020	824
-70.3303	14.1099	825
-70.3267	14.1149	826
-70.3256	14.1171	827
-70.3244	14.1207	828
-70.3240	14.1232	829
-70.3237	14.1260	830
-70.3238	14.1316	831
-70.3247	14.1412	832
-70.3261	14.1500	833
-70.3282	14.1614	834
-70.3305	14.1712	835
-70.3321	14.1765	836
-70.3363	14.1889	837
-70.3372	14.1923	838
-70.3378	14.1957	839
-70.3382	14.1987	840
-70.3384	14.2030	841
-70.3383	14.2053	842
-70.3379	14.2094	843
-70.3375	14.2111	844
-70.3367	14.2134	845
-70.3353	14.2147	846
-70.3331	14.2140	847
-70.3292	14.2106	848
-70.3277	14.2098	849
-70.3256	14.2097	850
-70.3233	14.2109	851
-70.3218	14.2126	852
-70.3205	14.2147	853
-70.3158	14.2257	854
-70.3143	14.2277	855
-70.3133	14.2283	856
-70.3117	14.2281	857
-70.3102	14.2269	858
-70.3047	14.2190	859
-70.3026	14.2168	860
-70.3015	14.2163	861
-70.3003	14.2167	862
-70.2990	14.2188	863
-70.2984	14.2211	864
-70.2981	14.2239	865
-70.2979	14.2279	866
-70.2980	14.2326	867
-70.2988	14.2417	868
-70.3013	14.2626	869
-70.3022	14.2723	870
-70.3025	14.2773	871
-70.3025	14.2822	872
-70.3021	14.2978	873
-70.3021	14.3045	874
-70.3024	14.3106	875
-70.3038	14.3238	876
-70.3041	14.3287	877
-70.3042	14.3325	878
-70.3040	14.3363	879
-70.3037	14.3381	880
-70.3031	14.3405	881
-70.3024	14.3419	882
-70.3013	14.3429	883
-70.3002	14.3431	884
-70.2990	14.3426	885
-70.2948	14.3386	886
-70.2923	14.3375	887
-70.2911	14.3378	888
-70.2897	14.3389	889
-70.2884	14.3408	890
-70.2874	14.3431	891
-70.2853	14.3495	892
-70.2840	14.3551	893
-70.2834	14.3590	894
-70.2828	14.3636	895
-70.2826	14.3675	896
-70.2823	14.3807	897
-70.2822	14.3825	898
-70.2817	14.3844	899
-70.2808	14.3858	900
-70.2803	14.3861	901
-70.2771	14.3861	902
-70.2756	14.3869	903
-70.2742	14.3893	904
-70.2733	14.3923	905
-70.2728	14.3957	906
-70.2721	14.4017	907
-70.2718	14.4081	908
-70.2717	14.4158	909
-70.2721	14.4275	910
-70.2725	14.4319	911
-70.2732	14.4381	912
-70.2750	14.4481	913
-70.2791	14.4677	914
-70.2804	14.4760	915
-70.2811	14.4847	916
-70.2814	14.5010	917
-70.2820	14.5069	918
-70.2828	14.5112	919
-70.2836	14.5139	920
-70.2877	14.5241	921
-70.2892	14.5286	922
-70.2902	14.5325	923
-70.2911	14.5380	924
-70.2912	14.5435	925
-70.2908	14.5478	926
-70.2898	14.5533	927
-70.2873	14.5637	928
-70.2864	14.5692	929
-70.2862	14.5748	930
-70.2863	14.5779	931
-70.2867	14.5808	932
-70.2878	14.5850	933
-70.2887	14.5871	934
-70.2898	14.5886	935
-70.2914	14.5898	936
-70.2966	14.5914	937
-70.2992	14.5928	938
-70.3025	14.5964	939
-70.3052	14.6008	940
-70.3069	14.6051	941
-70.3085	14.6113	942
-70.3099	14.6205	943
-70.3103	14.6252	944
-70.3106	14.6299	945
-70.3106	14.6321	946
-70.3104	14.6357	947
-70.3095	14.6395	948
-70.3077	14.6426	949
-70.3039	14.6464	950
-70.3024	14.6485	951
-70.3007	14.6524	952
-70.2994	14.6568	953
-70.2980	14.6648	954
-70.2964	14.6787	955
-70.2958	14.6886	956
-70.2957	14.6990	957
-70.2960	14.7173	958
-70.2964	14.7304	959
-70.2975	14.7510	960
-70.2987	14.7662	961
-70.2995	14.7728	962
-70.3004	14.7776	963
-70.3019	14.7834	964
-70.3056	14.7962	965
-70.3073	14.8032	966
-70.3089	14.8115	967
